2024-01-17 18:44:58,704 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-17 18:44:58,705 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Configure stats pid to 4076
2024-01-17 18:44:58,705 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Lado\.config\wandb\settings
2024-01-17 18:44:58,705 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Lado\MLOps_PortfolioOptimization\wandb\settings
2024-01-17 18:44:58,705 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-17 18:44:58,705 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'portfolio\\src\\train_model.py', 'program_abspath': 'c:\\Users\\Lado\\MLOps_PortfolioOptimization\\portfolio\\src\\train_model.py', 'program': 'c:\\Users\\Lado\\MLOps_PortfolioOptimization\\portfolio\\src\\train_model.py'}
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\Lado\MLOps_PortfolioOptimization\wandb\run-20240117_184458-dsb1vs8u\logs\debug.log
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\Lado\MLOps_PortfolioOptimization\wandb\run-20240117_184458-dsb1vs8u\logs\debug-internal.log
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:init():566] calling init triggers
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'lr': {'value': 0.001}, 'epochs': {'value': 4}, 'batch_size': {'value': 16}}
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:init():616] starting backend
2024-01-17 18:44:58,714 INFO    MainThread:4076 [wandb_init.py:init():620] setting up manager
2024-01-17 18:44:58,721 INFO    MainThread:4076 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-17 18:44:58,724 INFO    MainThread:4076 [wandb_init.py:init():628] backend started and connected
2024-01-17 18:44:58,736 INFO    MainThread:4076 [wandb_init.py:init():720] updated telemetry
2024-01-17 18:44:58,795 INFO    MainThread:4076 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-17 18:44:59,623 INFO    MainThread:4076 [wandb_run.py:_on_init():2254] communicating current version
2024-01-17 18:45:00,253 INFO    MainThread:4076 [wandb_run.py:_on_init():2263] got version response 
2024-01-17 18:45:00,253 INFO    MainThread:4076 [wandb_init.py:init():804] starting run threads in backend
2024-01-17 18:45:01,015 INFO    MainThread:4076 [wandb_run.py:_console_start():2233] atexit reg
2024-01-17 18:45:01,015 INFO    MainThread:4076 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-17 18:45:01,015 INFO    MainThread:4076 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-17 18:45:01,015 INFO    MainThread:4076 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-17 18:45:01,016 INFO    MainThread:4076 [wandb_init.py:init():847] run started, returning control to user process
2024-01-17 18:45:53,821 INFO    MainThread:4076 [wandb_run.py:_finish():1962] finishing run mlops11/final_project/dsb1vs8u
2024-01-17 18:45:53,821 INFO    MainThread:4076 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-17 18:45:53,821 INFO    MainThread:4076 [wandb_run.py:_restore():2185] restore
2024-01-17 18:45:53,821 INFO    MainThread:4076 [wandb_run.py:_restore():2191] restore done
2024-01-17 18:46:00,502 INFO    MainThread:4076 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-17 18:46:00,503 INFO    MainThread:4076 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-17 18:46:00,526 INFO    MainThread:4076 [wandb_run.py:_footer_sync_info():3816] logging synced files
